CIDADE;X;Y
0;354;499
1;429;451
2;736;553
3;295;589
4;668;301
5;621;593
6;621;710
7;867;707
8;466;141
9;690;281
10;134;426
11;275;186
12;278;624
13;771;675
14;605;349
15;586;526
16;439;273
17;784;733
18;316;525
19;483;103
20;318;468
21;322;183
22;353;738
23;768;862
24;490;125
25;358;116
26;483;113
27;145;112
28;578;373
29;173;239
30;246;124
31;702;841
32;198;707
33;783;495
34;394;137
35;408;316
36;860;155
37;448;800
38;438;859
39;506;659
40;419;846
41;815;463
42;284;122
43;360;484
44;565;117
45;887;398
46;736;387
47;888;711
48;725;797
49;789;100
50;729;361
51;827;789
52;237;611
53;707;408
54;407;392
55;772;725
56;158;600
57;727;666
58;711;104
59;533;884
60;371;742
61;698;774
62;560;454
63;574;467
64;134;780
65;233;373
66;168;195
67;276;681
68;678;368
69;522;226
70;114;564
71;435;629
72;464;178
73;509;794
74;342;101
75;594;751
76;744;800
77;460;114
78;738;246
79;368;170
80;474;285
81;742;795
82;842;807
83;741;622
84;696;163
85;318;251
86;814;320
87;365;777
88;254;565
89;419;583
90;144;107
91;889;195
92;555;404
93;820;785
94;199;548
95;335;276
96;414;478
97;147;822
98;809;488
99;476;149
